price,address,zipcode,Date,beds,bath,sq_ft,boro,Employed,Unemployed,income above 100k,income below 100k
96257,"355 8th Ave APT 17G, New York, NY 10001",10001,2/7/20,0,0,0,New York County,879665,31973,300250,594060
680000,"254 W 25th St APT 3D, New York, NY 10001",10001,2/3/20,1,1,650,New York County,879665,31973,300250,594060
1300000,"261 W 28th St APT 2A, New York, NY 10001",10001,1/30/20,2,2,1147,New York County,879665,31973,300250,594060
3700000,"130 W 30th St APT 16A, New York, NY 10001",10001,1/28/20,0,0,2256,New York County,879665,31973,300250,594060
1430000,"1182 Broadway APT 12B, New York, NY 10001",10001,1/27/20,Studio,,852,New York County,879665,31973,300250,594060
14800000,"540 W 29th St, New York, NY 10001",10001,1/22/20,Studio,,7061,New York County,879665,31973,300250,594060
7940000,"553 W 30th St #66B, New York, NY 10001",10001,1/21/20,Studio,,2320,New York County,879665,31973,300250,594060
1510000,"107 W 25th St APT 3B, New York, NY 10001",10001,1/21/20,2,2,1200,New York County,879665,31973,300250,594060
4270000,"553 W 30th St #24G, New York, NY 10001",10001,1/16/20,Studio,,1464,New York County,879665,31973,300250,594060
127408,"315 8th Ave APT 11B, New York, NY 10001",10001,1/16/20,0,0,0,New York County,879665,31973,300250,594060
113119,"315 8th Ave APT 6F, New York, NY 10001",10001,1/16/20,0,0,0,New York County,879665,31973,300250,594060
4890000,"553 W 30th St #36C, New York, NY 10001",10001,1/15/20,Studio,,1656,New York County,879665,31973,300250,594060
8180000,"553 W 30th St PENTHOUSE 85D, New York, NY 10001",10001,1/14/20,Studio,,2527,New York County,879665,31973,300250,594060
1650000,"420 W 25th St APT 4D, New York, NY 10001",10001,1/14/20,1,2,1350,New York County,879665,31973,300250,594060
8930000,"553 W 30th St PENTHOUSE 85C, New York, NY 10001",10001,1/10/20,Studio,,2579,New York County,879665,31973,300250,594060
9480000,"553 W 30th St PENTHOUSE 83C, New York, NY 10001",10001,1/10/20,Studio,,2604,New York County,879665,31973,300250,594060
375000,"433 W 34th St APT 5P, New York, NY 10001",10001,1/10/20,Studio,,0,New York County,879665,31973,300250,594060
590000,"36 W 35th St APT 4F, New York, NY 10001",10001,1/9/20,0,0,0,New York County,879665,31973,300250,594060
2420000,"50 W 29th St APT 7W, New York, NY 10001",10001,1/9/20,2,2,0,New York County,879665,31973,300250,594060
1900000,"261 W 28th St APT 8E, New York, NY 10001",10001,1/8/20,2,3,1214,New York County,879665,31973,300250,594060
740000,"433 W 34th St APT 7J, New York, NY 10001",10001,1/7/20,1,1,0,New York County,879665,31973,300250,594060
7500000,"553 W 30th St #82D, New York, NY 10001",10001,1/7/20,Studio,,2561,New York County,879665,31973,300250,594060
10600000,"553 W 30th St #80A, New York, NY 10001",10001,1/3/20,Studio,,2335,New York County,879665,31973,300250,594060
8480000,"553 W 30th St PENTHOUSE 86D, New York, NY 10001",10001,12/30/19,Studio,,2515,New York County,879665,31973,300250,594060
1650000,"420 W 25th St APT 2D, New York, NY 10001",10001,12/30/19,1,2,1339,New York County,879665,31973,300250,594060
4870000,"553 W 30th St #35C, New York, NY 10001",10001,12/26/19,Studio,,1657,New York County,879665,31973,300250,594060
1950000,"252 7th Ave APT 12T, New York, NY 10001",10001,12/26/19,1,2,1140,New York County,879665,31973,300250,594060
2300000,"142 W 26th St APT 12B, New York, NY 10001",10001,12/24/19,3,2,0,New York County,879665,31973,300250,594060
8380000,"553 W 30th St PENTHOUSE 81D, New York, NY 10001",10001,12/23/19,Studio,,2572,New York County,879665,31973,300250,594060
5700000,"553 W 30th St #79D, New York, NY 10001",10001,12/20/19,Studio,,1802,New York County,879665,31973,300250,594060
13200000,"553 W 30th St #82A, New York, NY 10001",10001,12/20/19,Studio,,3425,New York County,879665,31973,300250,594060
440000,"433 W 34th St APT 12D, New York, NY 10001",10001,12/20/19,Studio,,0,New York County,879665,31973,300250,594060
2310000,"252 7th Ave APT 17E, New York, NY 10001",10001,12/19/19,2,2,1294,New York County,879665,31973,300250,594060
3200000,"252 7th Ave APT 16G, New York, NY 10001",10001,12/18/19,2,2,1605,New York County,879665,31973,300250,594060
3160000,"252 7th Ave PENTHOUSE J, New York, NY 10001",10001,12/17/19,0,0,1602,New York County,879665,31973,300250,594060
1430000,"1182 Broadway APT 11D, New York, NY 10001",10001,12/17/19,Studio,,75328,New York County,879665,31973,300250,594060
4820000,"263 9th Ave #STG3, New York, NY 10001",10001,12/16/19,0,0,0,New York County,879665,31973,300250,594060
4820000,"263 9th Ave, New York, NY 10001",10001,12/16/19,4,4,3128,New York County,879665,31973,300250,594060
7980000,"553 W 30th St #68B, New York, NY 10001",10001,12/13/19,Studio,,2309,New York County,879665,31973,300250,594060
3160000,"252 7th #PH-J, New York, NY 10001",10001,12/12/19,2,2,1628,New York County,879665,31973,300250,594060
1950000,"553 W 30th St #25B, New York, NY 10001",10001,12/11/19,Studio,,851,New York County,879665,31973,300250,594060
7990000,"553 W 30th St #67B, New York, NY 10001",10001,12/9/19,Studio,,2314,New York County,879665,31973,300250,594060
2070000,"252 W 30th St APT 15, New York, NY 10001",10001,12/9/19,3,2,2100,New York County,879665,31973,300250,594060
5900000,"50 W 30th St PENTHOUSE 2, New York, NY 10001",10001,12/2/19,Studio,,2190,New York County,879665,31973,300250,594060
1070000,"308 W 30th St APT 11A, New York, NY 10001",10001,11/29/19,1,2,776,New York County,879665,31973,300250,594060
4920000,"553 W 30th St #37C, New York, NY 10001",10001,11/29/19,Studio,,1655,New York County,879665,31973,300250,594060
1520000,"308 W 30th St APT 11B, New York, NY 10001",10001,11/29/19,0,0,939,New York County,879665,31973,300250,594060
4920000,"553 W 30th St #37C, New York, NY 10001",10001,11/29/19,Studio,,1655,New York County,879665,31973,300250,594060
7800000,"553 W 30th St #63B, New York, NY 10001",10001,11/27/19,Studio,,2334,New York County,879665,31973,300250,594060
1830000,"150 W 26th St APT 201, New York, NY 10001",10001,11/25/19,1,2,1600,New York County,879665,31973,300250,594060
2420000,"50 W 30th St UNIT 16B, New York, NY 10001",10001,11/25/19,2,3,1310,New York County,879665,31973,300250,594060
1700000,"540 W 28th St APT 2E, New York, NY 10001",10001,11/20/19,2,2,1176,New York County,879665,31973,300250,594060
4740000,"553 W 30th St #30C, New York, NY 10001",10001,11/20/19,Studio,,1661,New York County,879665,31973,300250,594060
4510000,"553 W 30th St #24C, New York, NY 10001",10001,11/19/19,Studio,,1665,New York County,879665,31973,300250,594060
857500,"225 W 25th St APT 2J, New York, NY 10001",10001,11/19/19,1,1,0,New York County,879665,31973,300250,594060
2350000,"553 W 30th St #24F, New York, NY 10001",10001,11/19/19,Studio,,1044,New York County,879665,31973,300250,594060
2420000,"50 West 30th #16B, New York, NY 10001",10001,11/18/19,2,3,1310,New York County,879665,31973,300250,594060
2420000,"50 West 30th Street #16B, New York, NY 10001",10001,11/18/19,2,3,1315,New York County,879665,31973,300250,594060
4700000,"553 W 30th St #34C, New York, NY 10001",10001,11/18/19,Studio,,1658,New York County,879665,31973,300250,594060
8550000,"553 W 30th St #73A, New York, NY 10001",10001,11/14/19,Studio,,2393,New York County,879665,31973,300250,594060
2790000,"553 W 30th St #24J, New York, NY 10001",10001,11/14/19,Studio,,1166,New York County,879665,31973,300250,594060
1900000,"420 W 25th St APT 7E, New York, NY 10001",10001,11/14/19,1,2,1409,New York County,879665,31973,300250,594060
7520000,"553 W 30th St #80E, New York, NY 10001",10001,11/13/19,Studio,,2224,New York County,879665,31973,300250,594060
3730000,"553 W 30th St #24D, New York, NY 10001",10001,11/13/19,Studio,,1571,New York County,879665,31973,300250,594060
390000,"430 W 34th St APT 7L, New York, NY 10001",10001,11/13/19,0,1,0,New York County,879665,31973,300250,594060
4970000,"553 W 30th St #32A, New York, NY 10001",10001,11/12/19,Studio,,1780,New York County,879665,31973,300250,594060
2170000,"553 W 30th St #24B, New York, NY 10001",10001,11/12/19,Studio,,851,New York County,879665,31973,300250,594060
4760000,"553 W 30th St #31C, New York, NY 10001",10001,11/8/19,Studio,,1659,New York County,879665,31973,300250,594060
4630000,"553 W 30th St #29C, New York, NY 10001",10001,11/8/19,Studio,,1661,New York County,879665,31973,300250,594060
430000,"36 W 35th St APT 6C, New York, NY 10001",10001,11/6/19,Studio,,400,New York County,879665,31973,300250,594060
5000000,"553 W 30th St #78F, New York, NY 10001",10001,11/6/19,Studio,,1657,New York County,879665,31973,300250,594060
4640000,"553 W 30th St #26C, New York, NY 10001",10001,11/6/19,Studio,,1665,New York County,879665,31973,300250,594060
3170000,"24 W 30th St FLOOR 6, New York, NY 10001",10001,11/4/19,0,0,1979,New York County,879665,31973,300250,594060
490000,"430 W 34th St APT 11G, New York, NY 10001",10001,11/4/19,Studio,,0,New York County,879665,31973,300250,594060
97316,"355 8th Ave APT 20G, New York, NY 10001",10001,11/1/19,0,0,0,New York County,879665,31973,300250,594060
2270000,"245 10th Ave #10, New York, NY 10001",10001,10/31/19,0,0,1361,New York County,879665,31973,300250,594060
1880000,"1200 Broadway APT 3E, New York, NY 10001",10001,10/31/19,0,0,0,New York County,879665,31973,300250,594060
5010000,"527 W 27th St #9B, New York, NY 10001",10001,10/31/19,Studio,,120983,New York County,879665,31973,300250,594060
2810000,"553 W 30th St #31J, New York, NY 10001",10001,10/30/19,Studio,,1157,New York County,879665,31973,300250,594060
13000000,"553 W 30th St PENTHOUSE 85A, New York, NY 10001",10001,10/29/19,Studio,,3364,New York County,879665,31973,300250,594060
130708,"330 W 28th St APT 12H, New York, NY 10001",10001,10/28/19,0,0,0,New York County,879665,31973,300250,594060
4790000,"553 W 30th St #32C, New York, NY 10001",10001,10/23/19,Studio,,1082,New York County,879665,31973,300250,594060
113952,"340 W 28th St APT 11A, New York, NY 10001",10001,10/22/19,0,0,0,New York County,879665,31973,300250,594060
113536,"365 W 28th St APT 19G, New York, NY 10001",10001,10/22/19,0,0,0,New York County,879665,31973,300250,594060
1840000,"511 W 35th St, New York, NY 10001",10001,10/18/19,Studio,,0,New York County,879665,31973,300250,594060
4800000,"448 W 25th St, New York, NY 10001",10001,10/18/19,9,5,3900,New York County,879665,31973,300250,594060
113536,"365 W 28th St APT 13A, New York, NY 10001",10001,10/18/19,0,0,0,New York County,879665,31973,300250,594060
4530000,"553 W 30th St #25C, New York, NY 10001",10001,10/16/19,Studio,,1665,New York County,879665,31973,300250,594060
850000,"308 W 30th St APT 10A, New York, NY 10001",10001,10/11/19,2,1,575,New York County,879665,31973,300250,594060
2450000,"46 W 29th St #7W, New York, NY 10001",10001,10/7/19,2,2,2500,New York County,879665,31973,300250,594060
5030000,"553 W 30th St #79F, New York, NY 10001",10001,10/3/19,Studio,,1646,New York County,879665,31973,300250,594060
81692,"305 W 28th St APT 3D, New York, NY 10001",10001,10/3/19,0,0,0,New York County,879665,31973,300250,594060
111073,"365 W 28th St APT 2C, New York, NY 10001",10001,10/3/19,0,0,0,New York County,879665,31973,300250,594060
65115,"345 8th Ave APT 19E, New York, NY 10001",10001,10/3/19,0,0,0,New York County,879665,31973,300250,594060
81692,"355 8th Ave APT 6E, New York, NY 10001",10001,10/2/19,0,0,0,New York County,879665,31973,300250,594060
130708,"330 W 28th St APT 19B, New York, NY 10001",10001,10/2/19,0,0,0,New York County,879665,31973,300250,594060
130708,"280 9th Ave APT 18C, New York, NY 10001",10001,10/1/19,0,0,0,New York County,879665,31973,300250,594060
115203,"290 9th Ave APT 21B, New York, NY 10001",10001,10/1/19,0,0,0,New York County,879665,31973,300250,594060
5600000,"553 W 30th St #69D, New York, NY 10001",10001,10/1/19,Studio,,1783,New York County,879665,31973,300250,594060
128811,"290 9th Ave APT 9J, New York, NY 10001",10001,10/1/19,0,0,0,New York County,879665,31973,300250,594060
925000,"355 W 29th St APT 1A, New York, NY 10001",10001,10/1/19,1,1.5,0,New York County,879665,31973,300250,594060
4810000,"553 W 30th St #33C, New York, NY 10001",10001,9/27/19,Studio,,1659,New York County,879665,31973,300250,594060
3520000,"553 W 30th St #78C, New York, NY 10001",10001,9/26/19,Studio,,1124,New York County,879665,31973,300250,594060
8600000,"553 W 30th St #74A, New York, NY 10001",10001,9/25/19,Studio,,2385,New York County,879665,31973,300250,594060
8680000,"553 W 30th St #78A, New York, NY 10001",10001,9/24/19,Studio,,2353,New York County,879665,31973,300250,594060
8660000,"553 W 30th St #77A, New York, NY 10001",10001,9/24/19,Studio,,2362,New York County,879665,31973,300250,594060
8640000,"553 W 30th St #76A, New York, NY 10001",10001,9/24/19,Studio,,2370,New York County,879665,31973,300250,594060
8690000,"553 W 30th St #79A, New York, NY 10001",10001,9/23/19,Studio,,2344,New York County,879665,31973,300250,594060
8620000,"553 W 30th St #75A, New York, NY 10001",10001,9/23/19,Studio,,2378,New York County,879665,31973,300250,594060
60600000,"427-429 10th Ave, New York, NY 10001",10001,9/20/19,"7,200",,0,New York County,879665,31973,300250,594060
6410000,"50 W 30th St PENTHOUSE 1, New York, NY 10001",10001,9/20/19,Studio,,2530,New York County,879665,31973,300250,594060
997500,"308 W 30th St APT 8B, New York, NY 10001",10001,9/19/19,2,1,731,New York County,879665,31973,300250,594060
4950000,"553 W 30th St #33A, New York, NY 10001",10001,9/19/19,Studio,,1779,New York County,879665,31973,300250,594060
655000,"36 W 35th St APT 3F, New York, NY 10001",10001,9/18/19,1,1,0,New York County,879665,31973,300250,594060
6100000,"527 W 27th St #2A, New York, NY 10001",10001,9/17/19,Studio,,120983,New York County,879665,31973,300250,594060
5040000,"553 W 30th St #68F, New York, NY 10001",10001,9/17/19,Studio,,1801,New York County,879665,31973,300250,594060
6850000,"527 W 27th St #7A, New York, NY 10001",10001,9/16/19,Studio,,120983,New York County,879665,31973,300250,594060
2200000,"252 W 30th St APT 3B, New York, NY 10001",10001,9/13/19,3,2,1800,New York County,879665,31973,300250,594060
97316,"315 8th Ave APT 20G, New York, NY 10001",10001,9/13/19,0,0,0,New York County,879665,31973,300250,594060
3770000,"527 W 27th St #4C, New York, NY 10001",10001,9/12/19,2,2.5,1426,New York County,879665,31973,300250,594060
4100000,"278 W 25th St, New York, NY 10001",10001,9/12/19,5,4,2736,New York County,879665,31973,300250,594060
5090000,"553 W 30th St #77F, New York, NY 10001",10001,9/9/19,Studio,,1668,New York County,879665,31973,300250,594060
6010000,"553 W 30th St #64D, New York, NY 10001",10001,9/9/19,Studio,,2017,New York County,879665,31973,300250,594060
5780000,"553 W 30th St #78D, New York, NY 10001",10001,9/5/19,Studio,,1735,New York County,879665,31973,300250,594060
1400000,"420 W 25th St APT 3A, New York, NY 10001",10001,9/5/19,1,2,1240,New York County,879665,31973,300250,594060
7210000,"553 W 30th St #80D, New York, NY 10001",10001,9/4/19,Studio,,2175,New York County,879665,31973,300250,594060
3340000,"553 W 30th St #75C, New York, NY 10001",10001,9/4/19,Studio,,1142,New York County,879665,31973,300250,594060
699000,"254 W 25th St APT 4D, New York, NY 10001",10001,9/3/19,1,1,0,New York County,879665,31973,300250,594060
5650000,"553 W 30th St #68D, New York, NY 10001",10001,8/30/19,Studio,,2002,New York County,879665,31973,300250,594060
1650000,"420 W 25th St APT 6D, New York, NY 10001",10001,8/30/19,1,2,1339,New York County,879665,31973,300250,594060
929000,"357 W 30th St APT 3, New York, NY 10001",10001,8/30/19,1,1,900,New York County,879665,31973,300250,594060
5000000,"553 W 30th St #73F, New York, NY 10001",10001,8/28/19,Studio,,1710,New York County,879665,31973,300250,594060
4970000,"553 W 30th St #71F, New York, NY 10001",10001,8/27/19,Studio,,1729,New York County,879665,31973,300250,594060
5170000,"527 W 27th St #5S, New York, NY 10001",10001,8/26/19,Studio,,120983,New York County,879665,31973,300250,594060
3550000,"553 W 30th St #77C, New York, NY 10001",10001,8/26/19,Studio,,1130,New York County,879665,31973,300250,594060
1770000,"151 W 28th St ROOM 8W, New York, NY 10001",10001,8/26/19,3,2,1800,New York County,879665,31973,300250,594060
2720000,"50 W 30th St #20B, New York, NY 10001",10001,8/26/19,2,3,1310,New York County,879665,31973,300250,594060
4800000,"527 W 27th St #3A, New York, NY 10001",10001,8/26/19,Studio,,120983,New York County,879665,31973,300250,594060
2250000,"553 W 30th St #29B, New York, NY 10001",10001,8/26/19,Studio,,851,New York County,879665,31973,300250,594060
4500000,"520 W 28th St #30, New York, NY 10001",10001,8/24/19,2,2.5,1717,New York County,879665,31973,300250,594060
2520000,"130 W 30th St APT 12B, New York, NY 10001",10001,8/23/19,Studio,,2027,New York County,879665,31973,300250,594060
699000,"315 7th Ave APT 20C, New York, NY 10001",10001,8/22/19,Studio,,521,New York County,879665,31973,300250,594060
1990000,"245 10th Ave #4, New York, NY 10001",10001,8/21/19,2,2,1500,New York County,879665,31973,300250,594060
2480000,"50 W 29th St APT 11W, New York, NY 10001",10001,8/20/19,2,1.5,1800,New York County,879665,31973,300250,594060
265000,"408 W 25th St APT 4RE, New York, NY 10001",10001,8/20/19,0,0,0,New York County,879665,31973,300250,594060
5400000,"527 W 27th St #7S, New York, NY 10001",10001,8/20/19,Studio,,120983,New York County,879665,31973,300250,594060
976500,"308 W 30th St APT 3B, New York, NY 10001",10001,8/19/19,2,1,731,New York County,879665,31973,300250,594060
1960000,"527 W 27th St #3B, New York, NY 10001",10001,Sun. 1-2:3,1,1,758,New York County,879665,31973,300250,594060
6330000,"527 W 27th St #6A, New York, NY 10001",10001,8/19/19,Studio,,120983,New York County,879665,31973,300250,594060
2340000,"553 W 30th St #27E, New York, NY 10001",10001,8/19/19,Studio,,991,New York County,879665,31973,300250,594060
7000000,"553 W 30th St #63A, New York, NY 10001",10001,8/19/19,Studio,,2087,New York County,879665,31973,300250,594060
4990000,"553 W 30th St #68C, New York, NY 10001",10001,8/19/19,Studio,,1869,New York County,879665,31973,300250,594060
2720000,"50 West 30th Street #20B, New York, NY 10001",10001,8/15/19,2,3,1100,New York County,879665,31973,300250,594060
41845,"280 9th Ave APT 20J, New York, NY 10001",10001,8/14/19,0,0,0,New York County,879665,31973,300250,594060
2050000,"252 W 30th St APT 6B, New York, NY 10001",10001,8/9/19,3,1,1706,New York County,879665,31973,300250,594060
1890000,"527 W 27th St, New York, NY 10001",10001,8/8/19,Studio,,640,New York County,879665,31973,300250,594060
5030000,"553 W 30th St #74F, New York, NY 10001",10001,8/7/19,Studio,,1700,New York County,879665,31973,300250,594060
4980000,"553 W 30th St #65F, New York, NY 10001",10001,8/7/19,Studio,,1825,New York County,879665,31973,300250,594060
3080000,"50 W 29th St APT 9E, New York, NY 10001",10001,8/6/19,3,2,2131,New York County,879665,31973,300250,594060
2270000,"553 W 30th St #39B, New York, NY 10001",10001,8/6/19,Studio,,847,New York County,879665,31973,300250,594060
789144,"308 W 30th St APT 5A, New York, NY 10001",10001,8/6/19,2,1,562,New York County,879665,31973,300250,594060
1030000,"540 W 28th St APT 3E, New York, NY 10001",10001,8/5/19,0,0,776,New York County,879665,31973,300250,594060
55000000,"440 W 33rd St, New York, NY 10001",10001,8/2/19,0,0,202527,New York County,879665,31973,300250,594060
4930000,"553 W 30th St #69F, New York, NY 10001",10001,8/1/19,Studio,,1747,New York County,879665,31973,300250,594060
7110000,"553 W 30th St #68A, New York, NY 10001",10001,7/31/19,Studio,,2068,New York County,879665,31973,300250,594060
5520000,"553 W 30th St #70D, New York, NY 10001",10001,7/29/19,Studio,,1779,New York County,879665,31973,300250,594060
1360000,"430 W 34th St #7DE, New York, NY 10001",10001,7/24/19,2,2,0,New York County,879665,31973,300250,594060
