year,zipcode,boro,sq ft,bedrooms,starbucks within mile,unemployment,income?,median previous year price,house price (dep variable)
2008,10177,Manhattan,3495,3,2,1384,222324,1382180.4,1535756
2008,10178,Manhattan,2816,3,4,3859,488031,1684142.1,1871269
2008,10199,Manhattan,2148,3,2,3202,489164,1329738.3,1477487
2008,10270,Manhattan,3076,1,2,2804,748804,1716732,1907480
2008,10271,Manhattan,533,2,0,3618,303722,294090.3,326767
2008,10278,Manhattan,2429,1,1,1691,701304,1045019.7,1161133
2008,10279,Manhattan,3241,2,0,1402,745295,1153778.4,1281976
2008,10280,Manhattan,3216,2,4,1637,204919,1716939,1907710
2008,10281,Manhattan,1202,1,6,3624,251862,420674.4,467416
2008,10282,Manhattan,2678,1,0,1414,341711,833510.7,926123
2008,10301,Staten,1209,2,6,2285,601859,1284051.6,1426724
2008,10302,Staten,3049,2,5,3848,41527,1560119.4,1733466
2008,10303,Staten,3260,3,0,2150,173098,1019229.3,1132477
2008,10304,Staten,2319,1,1,1944,721379,403902.9,448781
2008,10305,Staten,2729,1,0,3854,464829,1271062.8,1412292
2008,10306,Staten,2436,2,1,3726,453607,845141.4,939046
2008,10307,Staten,2167,1,2,2293,128433,1270876.5,1412085
2008,10308,Staten,1440,1,6,3728,53373,911881.8,1013202
2008,10309,Staten,1609,2,2,1940,596213,280675.8,311862
2008,10310,Staten,1073,2,0,1829,161162,1348966.8,1498852
2008,10311,Staten,1451,2,1,2088,427616,385414.2,428238
2008,10312,Staten,1970,2,3,1170,565409,244461.6,271624
2008,10314,Staten,2774,3,4,1567,615335,369920.7,411023
2008,10451,Bronx,714,2,6,1290,105852,354991.5,394435
2008,10452,Bronx,2650,1,6,2195,632036,1091176.2,1212418
2008,10453,Bronx,1231,2,3,2686,638055,1472940,1636600
2008,10454,Bronx,1216,2,4,2908,683889,797287.5,885875
2008,10455,Bronx,3398,3,5,1087,633827,930472.2,1033858
2008,10456,Bronx,851,3,1,1275,658279,1071390.6,1190434
2008,10457,Bronx,1811,3,2,3193,449748,1790826.3,1989807
2008,10458,Bronx,2850,1,5,1747,105189,302407.2,336008
2008,10459,Bronx,1008,1,1,2621,95127,260104.5,289005
2008,10460,Bronx,1898,3,0,1400,414849,688875.3,765417
2008,10461,Bronx,1859,1,1,2840,738172,1021571.1,1135079
2008,10462,Bronx,2902,1,4,3428,173443,839678.4,932976
2008,10463,Bronx,3295,1,0,3723,676431,665713.8,739682
2008,10464,Bronx,1316,1,0,1879,209208,1065869.1,1184299
2008,10465,Bronx,2983,2,5,2473,725575,341604.9,379561
2008,10466,Bronx,1743,1,6,2100,147693,1685673,1872970
2008,10467,Bronx,2052,1,0,1808,647799,581297.4,645886
2008,10468,Bronx,3388,2,4,2160,365229,1706526.9,1896141
2008,10469,Bronx,2973,3,6,1407,199024,1648404,1831560
2008,10470,Bronx,1336,1,0,3238,577809,806899.5,896555
2008,10471,Bronx,1706,2,3,2386,702668,896951.7,996613
2008,10472,Bronx,2369,1,0,1396,483091,775210.5,861345
2008,10473,Bronx,980,3,3,2737,681407,1153936.8,1282152
2008,10474,Bronx,1538,1,1,1394,525449,528695.1,587439
2008,10475,Bronx,2505,2,3,2767,427534,580475.7,644973
2008,11004,Queens,1827,3,6,2660,36399,921210.3,1023567
2008,11101,Queens,1698,2,6,1867,681556,1177603.2,1308448
2008,11102,Queens,2649,1,2,1380,393374,418554,465060
2008,11103,Queens,3164,1,0,3804,110286,1174525.2,1305028
2008,11104,Queens,1122,3,2,1384,561904,1670710.5,1856345
2008,11105,Queens,1461,2,4,3795,666923,493663.5,548515
2008,11106,Queens,1618,1,6,3158,519976,1483379.1,1648199
2008,11109,Queens,587,3,3,1985,391277,1266767.1,1407519
2008,11201,Brooklyn,2276,2,4,1398,325963,985855.5,1095395
2008,11203,Brooklyn,2988,3,5,2183,187178,461352.6,512614
2008,11204,Brooklyn,3259,2,6,1514,387665,1145538,1272820
2008,11205,Brooklyn,2073,2,0,1911,264963,1024219.8,1138022
2008,11206,Brooklyn,2335,3,5,3058,677776,1389539.7,1543933
2008,11207,Brooklyn,1214,3,2,2715,544538,1437920.1,1597689
2008,11208,Brooklyn,3299,1,1,3773,734894,638073,708970
2008,11209,Brooklyn,2140,1,3,2034,704535,355861.8,395402
2008,11210,Brooklyn,2263,3,4,2920,93202,763946.1,848829
2008,11211,Brooklyn,2698,1,3,1744,508591,1499854.5,1666505
2008,11212,Brooklyn,2558,3,6,2168,627849,1106584.2,1229538
2008,11213,Brooklyn,507,1,6,1673,274053,576848.7,640943
2008,11214,Brooklyn,2367,1,1,1869,620314,1073131.2,1192368
2008,11215,Brooklyn,2802,1,5,2446,34845,1204461,1338290
2008,11216,Brooklyn,963,2,4,3589,295789,1780308,1978120
2008,11217,Brooklyn,888,1,6,1806,569177,403512.3,448347
2008,11218,Brooklyn,1786,2,2,2155,358373,330075,366750
2008,11219,Brooklyn,2971,1,4,2403,302078,1333879.2,1482088
2008,11220,Brooklyn,1055,1,4,2408,585703,1180688.4,1311876
2008,11221,Brooklyn,2260,1,3,3162,35146,1618820.1,1798689
2008,11222,Brooklyn,1422,3,3,3476,39161,1230309,1367010
2008,11223,Brooklyn,2995,1,3,1207,164959,858204.9,953561
2008,11224,Brooklyn,2744,2,5,1818,248274,1059909.3,1177677
2008,11225,Brooklyn,2627,1,4,1945,570838,1786462.2,1984958
2008,11226,Brooklyn,1338,3,1,1559,209467,493439.4,548266
2008,11228,Brooklyn,3395,2,6,2968,648068,1151226,1279140
2008,11229,Brooklyn,1210,3,4,1920,330104,673133.4,747926
2008,11230,Brooklyn,1976,3,4,1399,266731,1049456.7,1166063
2008,11231,Brooklyn,572,2,1,1431,311619,1547396.1,1719329
2008,11232,Brooklyn,1040,2,2,3526,456531,751670.1,835189
2008,11233,Brooklyn,2807,2,4,3395,568262,1095812.1,1217569
2008,11234,Brooklyn,1544,3,4,2890,707016,1372000.5,1524445
2008,11235,Brooklyn,1461,3,2,2393,540871,916760.7,1018623
2008,11236,Brooklyn,3254,3,4,1232,526351,563356.8,625952
2008,11237,Brooklyn,1306,1,0,3676,585535,1575023.4,1750026
2008,11238,Brooklyn,2552,1,4,1795,698334,1614001.5,1793335
2008,11239,Brooklyn,983,2,6,1371,124888,901785.6,1001984
2008,11241,Brooklyn,1261,3,5,2816,52002,348012,386680
2008,11242,Brooklyn,978,3,4,3178,263456,1455762.6,1617514
2008,11243,Brooklyn,2010,2,0,1487,272080,756788.4,840876
2008,11249,Brooklyn,1316,1,5,3147,193200,560756.7,623063
2008,11252,Brooklyn,509,2,6,2164,726581,499177.8,554642
2008,11256,Brooklyn,952,2,3,3332,560464,916478.1,1018309
2008,11351,Queens,2840,1,4,2409,218127,1590930.9,1767701
2008,11354,Queens,1350,2,0,3514,674795,1159238.7,1288043
2008,11355,Queens,1160,2,0,2614,438683,1073320.2,1192578
2008,11356,Queens,2781,2,2,3685,546074,1616909.4,1796566
2008,11357,Queens,1979,2,1,1393,53364,1336826.7,1485363
2008,11358,Queens,530,2,3,3388,291599,1427525.1,1586139
2008,11359,Queens,2896,3,1,1116,660075,1614249,1793610
2008,11360,Queens,2017,3,1,1461,110403,400378.5,444865
2008,11361,Queens,1028,1,2,3262,722184,385226.1,428029
2008,11362,Queens,629,3,0,1192,564970,1387956.6,1542174
2008,11363,Queens,623,1,5,1116,424457,1052433,1169370
2008,11364,Queens,2517,1,1,1249,302625,1038172.5,1153525
2008,11365,Queens,2734,1,3,3081,194312,1757970,1953300
2008,11366,Queens,2218,2,6,1546,574042,1204710.3,1338567
2008,11367,Queens,1648,1,0,1882,575181,532336.5,591485
2008,11368,Queens,662,1,5,2408,133266,643527,715030
2008,11369,Queens,3281,2,6,3377,531208,1403958.6,1559954
2008,11370,Queens,3175,3,5,2377,428039,1472967,1636630
2008,11371,Queens,2474,3,2,2520,546912,1046996.1,1163329
2008,11372,Queens,961,1,5,2720,506992,982984.5,1092205
2008,11373,Queens,1945,1,2,2552,578596,1676105.1,1862339
2008,11374,Queens,2628,2,3,2122,50504,1469403,1632670
2008,11375,Queens,2646,2,1,3242,153789,613237.5,681375
2008,11377,Queens,1847,3,0,1369,472060,1031812.2,1146458
2008,11378,Queens,585,2,5,2482,411655,647846.1,719829
2008,11379,Queens,2593,1,2,3185,676318,367002,407780
2008,11385,Queens,3344,1,3,1030,523851,1163135.7,1292373
2008,11411,Queens,1505,3,3,3911,190513,1074229.2,1193588
2008,11412,Queens,1722,2,2,1866,477034,735789.6,817544
2008,11413,Queens,2719,3,3,1387,560649,1067407.2,1186008
2008,11414,Queens,798,3,1,3136,89938,1690110.9,1877901
2008,11415,Queens,692,2,5,3504,482113,252286.2,280318
2008,11416,Queens,3104,1,0,1411,221051,955733.4,1061926
2008,11417,Queens,3271,2,5,3417,354980,1645910.1,1828789
2008,11418,Queens,3026,2,2,3212,573157,807889.5,897655
2008,11419,Queens,645,2,4,2585,404023,612159.3,680177
2008,11420,Queens,1678,3,1,1356,287554,1654290.9,1838101
2008,11421,Queens,3484,2,2,1390,511387,1143447.3,1270497
2008,11422,Queens,1397,3,1,2855,389579,801980.1,891089
2008,11423,Queens,1486,2,1,1391,701820,528520.5,587245
2008,11426,Queens,2634,1,3,1942,156603,487049.4,541166
2008,11427,Queens,1279,2,0,2767,663250,433726.2,481918
2008,11428,Queens,2282,3,0,2112,168097,1179234.9,1310261
2008,11429,Queens,2603,3,0,1649,692236,1250406,1389340
2008,11430,Queens,1762,3,6,2329,590838,295926.3,328807
2008,11432,Queens,3387,3,0,1692,96871,365357.7,405953
2008,11433,Queens,3045,2,1,1419,206434,1484974.8,1649972
2008,11434,Queens,3001,2,0,3045,700138,1667331,1852590
2008,11435,Queens,3116,2,0,3656,190974,1248211.8,1386902
2008,11436,Queens,674,2,5,1831,700962,1176048.9,1306721
2008,11691,Queens,3292,2,2,2451,518670,1462731.3,1625257
2008,11692,Queens,3153,1,1,1848,147421,1512426.6,1680474
2008,11693,Queens,1982,3,0,1970,741047,268305.3,298117
2008,11694,Queens,2300,1,1,1862,433914,902383.2,1002648
2008,11697,Queens,2524,3,3,2766,349675,901075.5,1001195
2008,10451,Bronx,581,1,6,2118,75384,619929.9,688811
2008,10452,Bronx,2125,2,1,3222,686561,755047.8,838942
2008,10453,Bronx,3246,1,4,2300,392002,590615.1,656239
2008,10454,Bronx,1383,3,6,3911,682760,859300.2,954778
2008,10455,Bronx,2042,2,5,2972,268649,1415710.8,1573012
2008,10456,Bronx,838,2,3,3187,167438,1102351.5,1224835
2008,10457,Bronx,2472,1,1,2738,279160,1623071.7,1803413
2008,10458,Bronx,2373,2,5,3933,110892,908460,1009400
2008,10459,Bronx,2591,2,5,2708,495300,819572.4,910636
2008,10460,Bronx,1058,1,4,2510,58410,789394.5,877105
2008,10461,Bronx,1150,3,2,1984,731750,984227.4,1093586
2008,10462,Bronx,2386,2,5,3743,704166,1366109.1,1517899
2008,10463,Bronx,1763,1,1,3879,719835,1314100.8,1460112
2008,10464,Bronx,3395,1,2,2987,423716,623214.9,692461
2008,10465,Bronx,2566,2,5,2260,335242,1505781,1673090
2008,10466,Bronx,891,3,3,1716,170496,1016585.1,1129539
2008,10467,Bronx,612,2,3,3802,354306,1275153.3,1416837
2008,10468,Bronx,2554,2,5,1112,315853,607853.7,675393
2008,10469,Bronx,2290,1,5,2000,674085,461590.2,512878
2008,10470,Bronx,1320,1,6,2706,183527,834068.7,926743
2008,10471,Bronx,2648,3,1,2320,500012,1080535.5,1200595
2008,10472,Bronx,1079,3,1,1970,135928,1104723,1227470
2008,10473,Bronx,842,1,1,2274,686014,1185285.6,1316984
2008,10474,Bronx,1763,2,1,1162,733101,868843.8,965382
2008,10475,Bronx,2754,1,3,1785,101104,1070451.9,1189391
2008,11201,Brooklyn,3014,3,0,1349,214530,1412018.1,1568909
2008,11203,Brooklyn,1503,2,0,1972,39864,1794669.3,1994077
2008,11204,Brooklyn,2841,3,2,1737,439200,1108596.6,1231774
2008,11205,Brooklyn,2127,2,2,1797,684406,1614900.6,1794334
2008,11206,Brooklyn,1441,3,5,3143,281593,1728789.3,1920877
2008,11207,Brooklyn,1478,1,3,3841,166607,1139770.8,1266412
2008,11208,Brooklyn,2669,1,6,1374,634429,1085929.2,1206588
2008,11209,Brooklyn,622,1,3,1900,59874,800860.5,889845
2008,11210,Brooklyn,843,2,1,1558,541898,1402280.1,1558089
2008,11211,Brooklyn,2352,2,3,1061,528933,1044765,1160850
2008,11212,Brooklyn,1064,3,1,3779,373012,1181679.3,1312977
2008,11213,Brooklyn,3071,3,2,1725,342757,1672077.6,1857864
2008,11214,Brooklyn,2628,2,0,2721,53168,738566.1,820629
2008,11215,Brooklyn,791,2,5,1569,385550,1517660.1,1686289
2008,11216,Brooklyn,1222,2,3,2998,275365,1426852.8,1585392
2008,11217,Brooklyn,770,1,1,3466,654349,950004,1055560
2008,11218,Brooklyn,1272,2,1,3740,96555,844830.9,938701
2008,11219,Brooklyn,1999,2,0,3446,267398,485625.6,539584
2008,11220,Brooklyn,818,2,2,2320,88243,1105143.3,1227937
2008,11221,Brooklyn,1400,3,2,2688,219736,395897.4,439886
2008,11222,Brooklyn,822,3,1,1959,624113,291416.4,323796
2008,11223,Brooklyn,674,2,0,3929,271443,1687517.1,1875019
2008,11224,Brooklyn,2793,1,3,1719,84646,1344079.8,1493422
2008,11225,Brooklyn,1990,1,1,2261,473115,647054.1,718949
2008,11226,Brooklyn,689,3,6,2511,467619,1222220.7,1358023
2008,11228,Brooklyn,2830,2,3,2934,723982,1713779.1,1904199
2008,11229,Brooklyn,2142,1,6,3211,471932,517994.1,575549
2008,11230,Brooklyn,528,2,1,1298,690650,1141116.3,1267907
2008,11231,Brooklyn,1624,2,0,2113,331779,352364.4,391516
2008,11232,Brooklyn,3269,1,6,3577,478352,682077.6,757864
2008,11233,Brooklyn,2228,3,4,2939,454783,724670.1,805189
2008,11234,Brooklyn,1986,3,3,3859,677814,1119651.3,1244057
2008,11235,Brooklyn,1353,1,5,1927,515286,406658.7,451843
2008,11236,Brooklyn,907,2,0,2846,462864,1076897.7,1196553
2008,11237,Brooklyn,1619,3,5,3742,494547,1680255.9,1866951
2008,11238,Brooklyn,1629,1,3,3882,504398,865357.2,961508
2008,11239,Brooklyn,3409,1,6,1278,532229,799883.1,888759
2008,11241,Brooklyn,1344,3,6,2846,557020,1358208,1509120
2008,11242,Brooklyn,938,1,3,1265,245528,1679753.7,1866393
2008,11243,Brooklyn,758,2,5,2174,418023,957082.5,1063425
2008,11249,Brooklyn,1846,1,3,2366,84779,357137.1,396819
2008,11252,Brooklyn,1025,1,5,1916,414060,870137.1,966819
2008,11256,Brooklyn,2206,3,2,1224,701720,920646,1022940
2008,10001,Manhattan,1472,3,0,3890,177898,1595753.1,1773059
2008,10002,Manhattan,1148,2,2,1686,555632,1713987,1904430
2008,10003,Manhattan,2179,1,4,3881,143605,1549319.4,1721466
2008,10004,Manhattan,624,1,4,3669,609637,692929.8,769922
2008,10005,Manhattan,2100,1,6,1766,244070,1441436.4,1601596
2008,10006,Manhattan,3144,1,2,1047,687452,1016619.3,1129577
2008,10007,Manhattan,1728,1,3,2540,254008,968778,1076420
2008,10009,Manhattan,2529,1,6,1575,591184,1723016.7,1914463
2008,10010,Manhattan,926,3,4,3112,185399,1196667,1329630
2008,10011,Manhattan,1636,2,3,1049,343855,612981.9,681091
2008,10012,Manhattan,3441,3,2,2668,286410,1008583.2,1120648
2008,10013,Manhattan,3203,3,1,3835,196556,1797588,1997320
2008,10014,Manhattan,551,2,6,2841,679645,900582.3,1000647
2008,10015,Manhattan,1976,2,6,1055,342387,1491871.5,1657635
2008,10016,Manhattan,1039,3,1,1643,392120,1377114.3,1530127
2008,10017,Manhattan,2192,1,6,2365,262146,771872.4,857636
2008,10018,Manhattan,1392,2,2,1965,298197,480816,534240
2008,10019,Manhattan,1097,1,2,2253,436821,748203.3,831337
2008,10020,Manhattan,2447,2,6,2251,328678,968328.9,1075921
2008,10021,Manhattan,2515,3,3,3613,740136,1698259.5,1886955
2008,10022,Manhattan,2736,1,0,1812,171233,431010,478900
2008,10023,Manhattan,2790,1,1,3969,399124,769165.2,854628
2008,10024,Manhattan,868,3,0,2516,613925,401323.5,445915
2008,10025,Manhattan,2526,1,0,1276,484853,1788516.9,1987241
2008,10026,Manhattan,1755,2,3,3283,124941,1008781.2,1120868
2008,10027,Manhattan,1400,3,6,2797,522040,841856.4,935396
2008,10028,Manhattan,2220,3,3,1018,588359,1327010.4,1474456
2008,10029,Manhattan,1849,3,4,3570,458543,718765.2,798628
2008,10030,Manhattan,2488,2,4,2103,447077,583515,648350
2008,10031,Manhattan,3225,2,6,2742,420376,1223403.3,1359337
2008,10032,Manhattan,2970,1,4,2664,124616,1081919.7,1202133
2008,10033,Manhattan,1383,2,2,3475,55292,1596869.1,1774299
2008,10034,Manhattan,1007,2,4,1881,575447,1747455.3,1941617
2008,10035,Manhattan,1035,2,5,2014,684430,1694479.5,1882755
2008,10036,Manhattan,3194,3,1,3962,743499,1739871,1933190
2008,10037,Manhattan,3485,2,0,3408,208697,1667998.8,1853332
2008,10038,Manhattan,1478,1,5,1445,410100,1753448.4,1948276
2008,10039,Manhattan,2764,3,2,2193,330322,738216.9,820241
2008,10040,Manhattan,1943,1,4,3903,313194,580372.2,644858
2008,10041,Manhattan,704,2,6,2539,222121,1142780.4,1269756
2008,10044,Manhattan,2547,1,3,2474,331747,1183353.3,1314837
2008,10045,Manhattan,2738,2,5,1853,258728,441700.2,490778
2008,10048,Manhattan,3319,3,4,1668,694508,1203729.3,1337477
2008,10055,Manhattan,1436,2,5,3882,248085,968215.5,1075795
2008,10060,Manhattan,595,2,6,2799,334408,1365682.5,1517425
2008,10069,Manhattan,3343,1,6,3587,393915,429813,477570
2008,10090,Manhattan,3018,3,0,2108,620552,430047.9,477831
2008,10095,Manhattan,2565,3,5,1635,503835,1496988.9,1663321
2008,10098,Manhattan,2763,3,5,3827,423995,1153666.8,1281852
2008,10099,Manhattan,2616,1,3,1407,202175,1526813.1,1696459
2008,10103,Manhattan,2530,2,0,1981,295345,372923.1,414359
2008,10104,Manhattan,1923,3,5,1426,371451,1326370.5,1473745
2008,10105,Manhattan,2988,1,6,1951,523943,1422032.4,1580036
2008,10106,Manhattan,674,2,3,1058,469589,994737.6,1105264
2008,10107,Manhattan,3326,2,2,1986,273795,375238.8,416932
2008,10110,Manhattan,2035,3,2,1394,223001,418537.8,465042
2008,10111,Manhattan,2249,2,3,2010,280179,875328.3,972587
2008,10112,Manhattan,1753,3,0,2479,48073,1597453.2,1774948
2008,10115,Manhattan,2954,3,2,1230,532566,1121580,1246200
2008,10118,Manhattan,1556,2,5,3937,604904,1381329.9,1534811
2008,10119,Manhattan,3297,3,1,1693,583966,1681543.8,1868382
2008,10120,Manhattan,2574,2,6,1216,217392,681835.5,757595
2008,10121,Manhattan,2783,3,0,2657,559702,763385.4,848206
2008,10122,Manhattan,1030,3,2,1095,577671,754281,838090
2008,10123,Manhattan,1269,3,1,3883,145192,562835.7,625373
2008,10128,Manhattan,2332,2,6,3746,193073,1007420.4,1119356
2008,10151,Manhattan,1442,3,3,1901,469489,775866.6,862074
2008,10152,Manhattan,505,3,6,3544,120289,1182875.4,1314306
2008,10153,Manhattan,1439,3,3,1710,31172,855733.5,950815
2008,10154,Manhattan,2083,2,1,1358,96037,911171.7,1012413
2008,10155,Manhattan,1533,2,0,1018,197734,886718.7,985243
2008,10158,Manhattan,2599,1,2,1876,689873,506986.2,563318
2008,10161,Manhattan,1622,2,3,3267,92657,1690416,1878240
2008,10162,Manhattan,1272,2,1,1644,353784,1168331.4,1298146
2008,10165,Manhattan,2231,2,5,1235,233303,768111.3,853457
2008,10166,Manhattan,1336,1,3,2277,184814,1555006.5,1727785
2008,10167,Manhattan,1930,2,5,3892,626642,301007.7,334453
2008,10168,Manhattan,859,3,5,2432,111539,1516554.9,1685061
2008,10169,Manhattan,2552,3,0,2005,134229,460356.3,511507
2008,10170,Manhattan,730,2,1,3239,229141,363349.8,403722
2008,10171,Manhattan,634,1,6,3059,432665,292377.6,324864
2008,10172,Manhattan,3122,2,6,2325,682184,1564479,1738310
2008,10173,Manhattan,2816,2,4,1551,505886,289326.6,321474
2008,10174,Manhattan,1573,2,5,3190,304700,729865.8,810962
2008,10175,Manhattan,1402,3,6,3141,302843,1109913.3,1233237
2008,10176,Manhattan,2891,3,4,3197,548923,364197.6,404664
2008,10177,Manhattan,1695,2,0,1114,401371,1670879.7,1856533
2008,10178,Manhattan,2643,1,3,1037,91174,783369,870410
2008,10199,Manhattan,1678,1,3,2991,177690,824035.5,915595
2008,10270,Manhattan,2810,2,6,1832,506880,1125845.1,1250939
2008,10271,Manhattan,1370,1,0,3613,380293,589863.6,655404
2008,10278,Manhattan,2045,1,0,2042,194444,503958.6,559954
2008,10279,Manhattan,3074,2,0,1299,142045,1074632.4,1194036
2008,10280,Manhattan,3339,2,3,3962,220317,1091110.5,1212345
2008,10281,Manhattan,1406,3,4,2895,89584,1641627.9,1824031
2008,10282,Manhattan,1220,2,3,1372,229608,1432220.4,1591356
2008,11101,Queens,703,1,1,2483,467658,893029.5,992255
2008,11102,Queens,859,2,1,2396,668208,977455.8,1086062
2008,11103,Queens,1991,3,3,1563,714710,1295226.9,1439141
2008,11004,Queens,1067,2,2,2529,448527,1002129.3,1113477
2008,11104,Queens,1837,2,3,3284,152449,952238.7,1058043
2008,11105,Queens,1525,3,0,1861,731130,1311493.5,1457215
2008,11106,Queens,2681,1,6,3326,422530,1762796.7,1958663
2008,11109,Queens,2280,3,4,1472,401805,983084.4,1092316
2008,11351,Queens,1952,1,2,2176,208807,247856.4,275396
2008,11354,Queens,1963,2,6,3285,589167,728665.2,809628
2008,11355,Queens,1965,3,5,2642,147968,1194750,1327500
