borough,buildingClassCategory,address,zipcode,residentialUnits,landSqft,yearBuilt,salePrice,employed,unemployed,incomeAbove100k,incomeBelow100k
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,935 TODT HILL ROAD,10304,1,"17,361",1950,1912500,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,195-34 KENO AVENUE,11423,1,"17,135",1950,1205000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,853 WILLOWBROOK ROAD,10314,1,"17,014",1970,285667,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,111 MALBA DRIVE,11357,1,"16,982",1930,3275000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,101-59 105TH STREET,11416,2,"16,906",1930,680000,1099996,39401,166650,1015040
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,5774 HYLAN BOULEVARD,10309,2,"16,871",2008,920000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,26 EAST LOOP ROAD,10304,1,"16,702",1899,1750000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,678 KING AVENUE,10464,1,"16,651",1870,1200000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,52 VAN NAME AVENUE,10303,1,"16,296",1915,400000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,645 WEST 252ND STREET,10471,1,"16,177",1930,2437500,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,66 DALEMERE ROAD,10304,0,"16,035",2020,1045000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,256 LIGHTHOUSE AVENUE,10306,1,"16,000",1980,780000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,145 BEACH 149TH STREET,11694,1,"15,750",1940,1270000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,145 BEACH 149TH STREET,11694,1,"15,750",1940,750000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,1117 BAY PARK PLACE,11691,2,"15,594",1920,900000,1099996,39401,166650,1015040
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,42 ROYAL OAK ROAD,10314,2,"15,576",1950,325000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,48 EXCELSIOR AVENUE,10309,2,"15,374",1910,900000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,22 WRIGHT AVENUE,10303,1,"15,197",1920,401000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,654 KING AVENUE,10464,1,"15,004",1920,1697500,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,96 JARVIS AVENUE,10312,1,"15,000",1980,1175000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,507 RICHARD AVENUE,10309,1,"15,000",1950,1100000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,871 POST AVENUE,10310,2,"14,904",1930,500000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,123 KEATING STREET,10309,2,"14,746",1992,1351865,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,65 JENNA LANE,10304,1,"14,467",1994,1999500,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,75 HILLTOP TERRACE,10304,1,"14,406",1970,1375000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,28 BOULEVARD,11357,1,"14,300",1920,2460000,1099996,39401,166650,1015040
Bronx County,01 ONE FAMILY DWELLINGS,3236 SCHLEY AVENUE,10465,1,"14,194",1915,400000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,7725 AMBOY ROAD,10307,1,"14,186",1901,840000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,146 BENTLEY STREET,10307,1,"14,136",1915,525000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,138 SPRAGUE AVENUE,10307,1,"14,000",1920,900000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,339 BREHAUT AVENUE,10307,2,"13,882",2005,1175000,213734,8585,55180,173430
Queens County,02 TWO FAMILY DWELLINGS,15-01 NEW HAVEN AVENUE,11691,2,"13,752",1899,875000,1099996,39401,166650,1015040
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,455 HOLDRIDGE AVENUE,10312,2,"13,701",1986,950000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,10 OCEANVIEW LANE,10301,1,"13,680",1987,1200000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,74 MEADE LOOP,10309,1,"13,493",1987,900000,213734,8585,55180,173430
Bronx County,02 TWO FAMILY DWELLINGS,293 PAULIS PLACE,10464,1,"13,434",1935,800000,565642,32035,44610,621050
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,388 CLARKE AVENUE,10306,2,"13,280",1915,790000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,6136 AMBOY ROAD,10309,1,"13,192",1930,540000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,91 RIDGECREST AVENUE,10312,1,"13,125",1950,825000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,87-44 SANTIAGO STREET,11423,1,"13,122",2004,2200000,1099996,39401,166650,1015040
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,15 COTTONTAIL COURT,10312,2,"12,918",2000,1300000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,254 GREENWAY NORTH,11375,1,"12,868",1920,2435000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,74 JOHANNA LANE,10309,1,"12,792",1985,1450000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,32 WINTERS STREET,10464,1,"12,775",1970,590000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,82 HALLISTER STREET,10309,1,"12,699",1984,780000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,2441 CROTONA AVENUE,10458,1,"12,557",1910,2550000,565642,32035,44610,621050
Queens County,02 TWO FAMILY DWELLINGS,"118-69 FRANCIS LEWIS BLVD.,",11411,2,"12,555",1950,900000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,60 17TH ROAD,11693,1,"12,500",1931,850000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,133-04 14TH AVENUE,11356,2,"12,500",1915,1300000,1099996,39401,166650,1015040
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,330 GIFFORDS LANE,10308,2,"12,500",1935,942500,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,78 APPLEBY AVENUE,10305,1,"12,500",1930,1110000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,80-20 164TH PLACE,11432,1,"12,400",1925,749000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,70 MALLOW STREET,10309,1,"12,327",1999,995000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,29-28 215TH STREET,11360,1,"12,250",1940,1550000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,199-19 23RD AVENUE,11357,1,"12,223",1901,1300000,1099996,39401,166650,1015040
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,133 NASHVILLE STREET,10307,2,"12,210",1985,860000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,84 AMARON LANE,10307,1,"12,204",1988,730000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,216-06 31ST ROAD,11360,1,"12,200",1960,1575000,1099996,39401,166650,1015040
Bronx County,01 ONE FAMILY DWELLINGS,4485 FIELDSTON ROAD,10471,1,"12,083",1930,3250000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,4051 BARNES AVENUE,10466,3,"12,042",1910,675010,565642,32035,44610,621050
Queens County,01 ONE FAMILY DWELLINGS,86-48 MARENGO STREET,11423,1,"12,012",1965,725000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,129 RIDGE ROAD,11363,1,"12,000",1930,1800000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,111 AUDLEY STREET,11415,1,"12,000",1980,2250000,1099996,39401,166650,1015040
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,3447 BEDFORD AVENUE,11210,1,"12,000",1920,1270776,1149461,48699,188640,1067440
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,275 SAINT GEORGE ROAD,10306,1,"12,000",2000,998000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,135 JOHNSON AVENUE,10307,1,"12,000",1901,850000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,129 JOHNSON AVE,10307,2,"12,000",1901,750000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,18457 ABERDEEN,11432,1,"11,932",1940,2675000,1099996,39401,166650,1015040
Bronx County,01 ONE FAMILY DWELLINGS,3301 CAMPBELL DRIVE,10465,1,"11,900",1925,720000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,64 LORRAINE AVENUE,10312,1,"11,830",2004,472000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,141 WIELAND AVENUE,10309,1,"11,799",1975,740000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,36 PRALL AVENUE,10312,1,"11,775",1935,710000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,101 GREAVES AVENUE,10308,2,"11,523",1965,670000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,63 GROTON STREET,11375,1,"11,520",1920,2920000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,45 OCEAN AVENUE,10305,1,"11,450",1931,650000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,543 ARDEN AVENUE,10312,1,"11,400",1950,900000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,168 PLEASANT PLAINS AVE,10309,2,"11,355",1998,825000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,25-12 MOTT AVENUE,11691,1,"11,237",1920,220000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,50 TUDOR STREET,10308,1,"11,192",1965,815000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,5073 FIELDSTON ROAD,10471,1,"11,175",1940,1085000,565642,32035,44610,621050
Queens County,01 ONE FAMILY DWELLINGS,86-47 CLIO STREET,11423,1,"11,099",2002,1800000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,2703 SHORE ROAD,11363,1,"11,042",2004,2182000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,1902 EAST 28TH STREET,11229,2,"11,000",1960,1500000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,2387 56TH DRIVE,11234,1,"11,000",2006,3350000,1149461,48699,188640,1067440
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,248 BEDELL AVENUE,10307,2,"11,000",1988,499000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,342 CASTLETON AVENUE,10301,2,"10,951",1950,620000,213734,8585,55180,173430
Richmond County (Staten Island),03 THREE FAMILY DWELLINGS,30 CASTLETON AVENUE,10301,3,"10,918",1930,700000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,23 HOLSMAN ROAD,10301,1,"10,914",1930,1240000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,23 THERESA PLACE,10301,1,"10,906",1925,740000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,64-09 CLINTON AVENUE,11378,1,"10,900",1920,984000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,25 OTTAVIO PROMENADE,10307,1,"10,900",2002,2130000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,79 DEXTER AVENUE,10309,1,"10,898",2001,957000,213734,8585,55180,173430
Queens County,02 TWO FAMILY DWELLINGS,129-29 BROOKVILLE BOULEVARD,11422,2,"10,888",1935,500000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,41 ARBUTUS WAY,10312,1,"10,800",2015,1150000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,39 MOUNTAIN VIEW AVENUE,10314,1,"10,800",2019,646589,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,5998 PALISADE AVENUE,10471,1,"10,800",1950,1080000,565642,32035,44610,621050
Queens County,01 ONE FAMILY DWELLINGS,196-20 COMO AVENUE,11423,1,"10,752",1945,500000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,156 YETMAN AVENUE,10307,1,"10,750",2020,375000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,3755 AMBOY ROAD,10308,1,"10,730",1985,647000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,100 PROSPECT AVENUE,11363,1,"10,700",1930,1490000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,315 KINGHORN STREET,10312,1,"10,700",1985,1375000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,26 RICHMOND VALLEY ROAD,10309,1,"10,625",1901,270000,213734,8585,55180,173430
Queens County,02 TWO FAMILY DWELLINGS,11-41 BAY 24TH STREET,11691,2,"10,614",1910,737500,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,139 ARLEIGH ROAD,11363,1,"10,600",1930,2150000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,101 MEDFORD ROAD,10304,1,"10,576",1965,1075000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,1449 ROOSEVELT AVENUE,10464,1,"10,530",1960,950000,565642,32035,44610,621050
Queens County,01 ONE FAMILY DWELLINGS,128-43 226TH STREET,11413,1,"10,518",1945,516000,1099996,39401,166650,1015040
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,45 RIDGEWOOD AVENUE,10312,2,"10,510",1975,505000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,32-05 155TH STREET,11354,1,"10,504",1925,1100000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,99 TENNIS PLACE,11375,1,"10,500",1920,2775000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,149-28 21ST AVENUE,11357,1,"10,500",1925,1700000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,71 ST ANDREWS ROAD,10306,1,"10,484",1901,630703,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,6 EASTENTRY ROAD,10304,1,"10,472",1980,1515000,213734,8585,55180,173430
Richmond County (Staten Island),03 THREE FAMILY DWELLINGS,555 LEVERETT AVENUE,10312,3,"10,461",1989,330000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,94 AMARON LANE,10307,2,"10,453",1995,1060000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,150-11 7TH AVENUE,11357,1,"10,425",1935,1500000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,5 PORTSMOUTH AVENUE,10301,1,"10,400",1935,1340000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,17 TOMPKINS CIRCLE,10301,1,"10,400",1950,763939,213734,8585,55180,173430
Queens County,02 TWO FAMILY DWELLINGS,13-69 GIPSON STREET,11691,2,"10,380",1910,458000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,1361 GIPSON,11691,1,"10,350",1915,300000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,229 GREENWAY SOUTH,11375,1,"10,310",1930,2980000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,179-15 DALNY ROAD,11432,1,"10,300",1940,1325000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,806 LAMONT AVENUE,10309,1,"10,300",2020,899999,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,280 MC BAINE AVENUE,10309,2,"10,240",1986,250000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,49-24 ANNADALE LANE,11362,1,"10,206",1925,998000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,24 HAYWOOD STREET,10307,1,"10,200",1988,1100000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,30 RIDGE AVENUE,10304,1,"10,160",1988,992000,213734,8585,55180,173430
Queens County,03 THREE FAMILY DWELLINGS,24-36 93RD STREET,11369,3,"10,149",1930,1700000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,5870 AMBOY ROAD,10309,1,"10,140",1935,570000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,851 MORROW STREET,10303,1,"10,132",1915,400000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,68 MORNINGSTAR ROAD,10303,1,"10,125",1920,441090,213734,8585,55180,173430
Kings County (Brooklyn),03 THREE FAMILY DWELLINGS,240 BAY 13TH STREET,11214,3,"10,100",1992,1836000,1149461,48699,188640,1067440
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,51 FLAGG COURT,10304,1,"10,072",1996,1872000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,260 ST JOHNS AVENUE,10305,1,"10,050",1970,965000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,138-28 243RD STREET,11422,1,"10,044",1950,435000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,1054 41ST STREET,11219,2,"10,016",1925,2800000,1149461,48699,188640,1067440
Queens County,02 TWO FAMILY DWELLINGS,221-06 39TH AVENUE,11361,2,"10,000",1930,1398000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,13-15 160TH STREET,11357,1,"10,000",1925,1740000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,18-01 CHANNEL ROAD,11693,1,"10,000",1915,785000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,211-16 82ND AVENUE,11427,1,"10,000",2018,1800000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,219 LENOX ROAD,11226,2,"10,000",1901,4999999,1149461,48699,188640,1067440
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,525 SYCAMORE STREET,10312,1,"10,000",1980,775000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,109 SEA GATE ROAD,10305,1,"10,000",1935,989000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,16 LYNNHAVEN PLACE,10310,1,"10,000",1936,1200000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,94 BRANDIS AVENUE,10312,1,"10,000",1985,795000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,546 CARLTON BOULEVARD,10312,1,"10,000",1970,940000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,234 RAMONA AVENUE,10312,1,"10,000",1980,150000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,436 VINELAND AVENUE,10312,2,"10,000",1986,1050000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,427 STAFFORD AVENUE,10312,2,"10,000",1989,1019000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,916 LAMONT AVENUE,10309,2,"10,000",1991,800000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,206 WEED AVENUE,10306,1,"10,000",1955,600000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,300 NICHOLAS AVENUE,10302,2,"10,000",1935,550000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,199 BAYVIEW AVENUE,10309,1,"10,000",1960,500000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,50 MELVILLE STREET,10309,2,"10,000",1987,883000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,382 BRADFORD AVENUE,10309,2,"10,000",1985,300000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,470 LIGHTHOUSE AVENUE,10306,1,"10,000",1955,935000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,58 MASON BOULEVARD,10309,2,"10,000",1986,814600,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,24 BIRCH AVENUE,10301,1,"10,000",1950,740000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,15 BEEBE STREET,10301,1,"10,000",1986,926608,213734,8585,55180,173430
